accepted_index,aligned_color,aligned_shape,aligned_video,amplitude_true,base_seed,candidate_id,conflict_color,conflict_shape,conflict_video,diffusion_repeat,direction,generation_seed,omega_true,phase,phase_index,receiver_id,split,target,target_label,test_manifest_id,theta_star,training_manifest_id
12,blue,circle,data/pendulum/strict_bank_128/videos/A/A_045_aligned.mp4,0.13780301130971045,50000045,A_045,red,circle,data/pendulum/strict_bank_128/videos/A/A_045_conflict.mp4,0,A,73000045,5.236709686688435,3.219551025745428,45,A_045,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,0.059110618837748166,frequency_color_circle__train_e273989068c3
13,blue,circle,data/pendulum/strict_bank_128/videos/A/A_048_aligned.mp4,0.1192368087609445,50000048,A_048,red,circle,data/pendulum/strict_bank_128/videos/A/A_048_conflict.mp4,0,A,73000048,6.088501158127696,1.5692575067747636,48,A_048,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.07045077606273872,frequency_color_circle__train_e273989068c3
14,blue,circle,data/pendulum/strict_bank_128/videos/A/A_050_aligned.mp4,0.1550446672211564,50000050,A_050,red,circle,data/pendulum/strict_bank_128/videos/A/A_050_conflict.mp4,0,A,73000050,5.692678489335936,5.617646489120355,50,A_050,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,0.04169479163387919,frequency_color_circle__train_e273989068c3
15,blue,circle,data/pendulum/strict_bank_128/videos/A/A_056_aligned.mp4,0.11854415745505233,50000056,A_056,red,circle,data/pendulum/strict_bank_128/videos/A/A_056_conflict.mp4,0,A,73000056,5.621444960536518,1.4468595958825494,56,A_056,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,0.09877093696977136,frequency_color_circle__train_e273989068c3
16,blue,circle,data/pendulum/strict_bank_128/videos/A/A_059_aligned.mp4,0.12778092762659846,50000059,A_059,red,circle,data/pendulum/strict_bank_128/videos/A/A_059_conflict.mp4,0,A,73000059,5.350203291135681,5.506297986736014,59,A_059,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.10281214215681439,frequency_color_circle__train_e273989068c3
17,blue,circle,data/pendulum/strict_bank_128/videos/A/A_065_aligned.mp4,0.1402141059411639,50000065,A_065,red,circle,data/pendulum/strict_bank_128/videos/A/A_065_conflict.mp4,0,A,73000065,5.958200988438064,3.0373095614598014,65,A_065,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.13932925710294516,frequency_color_circle__train_e273989068c3
18,blue,circle,data/pendulum/strict_bank_128/videos/A/A_067_aligned.mp4,0.13130270701713542,50000067,A_067,red,circle,data/pendulum/strict_bank_128/videos/A/A_067_conflict.mp4,0,A,73000067,5.486052708987572,0.6899740753955975,67,A_067,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,0.10805547842374542,frequency_color_circle__train_e273989068c3
19,blue,circle,data/pendulum/strict_bank_128/videos/A/A_068_aligned.mp4,0.10719775877049098,50000068,A_068,red,circle,data/pendulum/strict_bank_128/videos/A/A_068_conflict.mp4,0,A,73000068,5.744182150764462,5.930894118740904,68,A_068,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,0.07309619167653791,frequency_color_circle__train_e273989068c3
20,blue,circle,data/pendulum/strict_bank_128/videos/A/A_070_aligned.mp4,0.13303831618841333,50000070,A_070,red,circle,data/pendulum/strict_bank_128/videos/A/A_070_conflict.mp4,0,A,73000070,5.457113901516212,4.988682329765297,70,A_070,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.11919169553276286,frequency_color_circle__train_e273989068c3
21,blue,circle,data/pendulum/strict_bank_128/videos/A/A_071_aligned.mp4,0.11869188993921237,50000071,A_071,red,circle,data/pendulum/strict_bank_128/videos/A/A_071_conflict.mp4,0,A,73000071,5.793961122410589,5.718106946563243,71,A_071,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,0.07617595181381301,frequency_color_circle__train_e273989068c3
22,blue,circle,data/pendulum/strict_bank_128/videos/A/A_077_aligned.mp4,0.12542124883887273,50000077,A_077,red,circle,data/pendulum/strict_bank_128/videos/A/A_077_conflict.mp4,0,A,73000077,5.570816394733123,0.5859208677611827,77,A_077,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,0.11363363902441422,frequency_color_circle__train_e273989068c3
23,blue,circle,data/pendulum/strict_bank_128/videos/A/A_078_aligned.mp4,0.12883311682787169,50000078,A_078,red,circle,data/pendulum/strict_bank_128/videos/A/A_078_conflict.mp4,0,A,73000078,6.169276485281639,3.557081148399835,78,A_078,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.03351611597025708,frequency_color_circle__train_e273989068c3
24,blue,circle,data/pendulum/strict_bank_128/videos/A/A_079_aligned.mp4,0.10604820763296673,50000079,A_079,red,circle,data/pendulum/strict_bank_128/videos/A/A_079_conflict.mp4,0,A,73000079,5.570615236098548,4.664085067119939,79,A_079,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.09312166160434528,frequency_color_circle__train_e273989068c3
25,blue,circle,data/pendulum/strict_bank_128/videos/A/A_080_aligned.mp4,0.16336367660107992,50000080,A_080,red,circle,data/pendulum/strict_bank_128/videos/A/A_080_conflict.mp4,0,A,73000080,5.485516517108338,1.9448044283622912,80,A_080,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,0.1301597151169929,frequency_color_circle__train_e273989068c3
26,blue,circle,data/pendulum/strict_bank_128/videos/A/A_084_aligned.mp4,0.1635980235760366,50000084,A_084,red,circle,data/pendulum/strict_bank_128/videos/A/A_084_conflict.mp4,0,A,73000084,5.278631595533422,6.181123430636896,84,A_084,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.07687801498663244,frequency_color_circle__train_e273989068c3
27,blue,circle,data/pendulum/strict_bank_128/videos/A/A_085_aligned.mp4,0.12659026040539345,50000085,A_085,red,circle,data/pendulum/strict_bank_128/videos/A/A_085_conflict.mp4,0,A,73000085,6.007712577170118,3.8718086479437623,85,A_085,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.056817550090708685,frequency_color_circle__train_e273989068c3
28,blue,circle,data/pendulum/strict_bank_128/videos/A/A_089_aligned.mp4,0.1374523773408724,50000089,A_089,red,circle,data/pendulum/strict_bank_128/videos/A/A_089_conflict.mp4,0,A,73000089,5.310428958626949,3.1641168144069955,89,A_089,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,0.0357164564014711,frequency_color_circle__train_e273989068c3
29,blue,circle,data/pendulum/strict_bank_128/videos/A/A_095_aligned.mp4,0.14189011671557747,50000095,A_095,red,circle,data/pendulum/strict_bank_128/videos/A/A_095_conflict.mp4,0,A,73000095,5.391561874310894,4.5790725249406,95,A_095,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.1400985761794358,frequency_color_circle__train_e273989068c3
30,blue,circle,data/pendulum/strict_bank_128/videos/A/A_099_aligned.mp4,0.1106302795058625,50000099,A_099,red,circle,data/pendulum/strict_bank_128/videos/A/A_099_conflict.mp4,0,A,73000099,5.880905661708813,5.450882158543644,99,A_099,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,0.07193077615371556,frequency_color_circle__train_e273989068c3
31,blue,circle,data/pendulum/strict_bank_128/videos/A/A_104_aligned.mp4,0.12246591773262581,50000104,A_104,red,circle,data/pendulum/strict_bank_128/videos/A/A_104_conflict.mp4,0,A,73000104,6.010049644428966,1.8504234082400242,104,A_104,fit,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.07530147929623027,frequency_color_circle__train_e273989068c3
32,blue,circle,data/pendulum/strict_bank_128/videos/A/A_111_aligned.mp4,0.14816144223358152,50000111,A_111,red,circle,data/pendulum/strict_bank_128/videos/A/A_111_conflict.mp4,0,A,73000111,5.882238879230835,2.221249670679882,111,A_111,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.08657609400312356,frequency_color_circle__train_e273989068c3
33,blue,circle,data/pendulum/strict_bank_128/videos/A/A_112_aligned.mp4,0.11537077827705511,50000112,A_112,red,circle,data/pendulum/strict_bank_128/videos/A/A_112_conflict.mp4,0,A,73000112,5.434802500900078,5.316544958002042,112,A_112,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.08698210284585958,frequency_color_circle__train_e273989068c3
34,blue,circle,data/pendulum/strict_bank_128/videos/A/A_116_aligned.mp4,0.16476223820252411,50000116,A_116,red,circle,data/pendulum/strict_bank_128/videos/A/A_116_conflict.mp4,0,A,73000116,5.344230077515669,4.4484313070618215,116,A_116,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.14898592261137253,frequency_color_circle__train_e273989068c3
35,blue,circle,data/pendulum/strict_bank_128/videos/A/A_120_aligned.mp4,0.11043756224703678,50000120,A_120,red,circle,data/pendulum/strict_bank_128/videos/A/A_120_conflict.mp4,0,A,73000120,6.166663144469958,4.966890458401508,120,A_120,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,0.10026722358549335,frequency_color_circle__train_e273989068c3
36,blue,circle,data/pendulum/strict_bank_128/videos/A/A_126_aligned.mp4,0.15880346289234137,50000126,A_126,red,circle,data/pendulum/strict_bank_128/videos/A/A_126_conflict.mp4,0,A,73000126,5.652435835427481,3.2861081168204866,126,A_126,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.1295003592700684,frequency_color_circle__train_e273989068c3
37,blue,circle,data/pendulum/strict_bank_128/videos/A/A_128_aligned.mp4,0.11947937522341286,50000128,A_128,red,circle,data/pendulum/strict_bank_128/videos/A/A_128_conflict.mp4,0,A,73000128,5.265266964631235,5.7420567684023105,128,A_128,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.0986266046735988,frequency_color_circle__train_e273989068c3
38,blue,circle,data/pendulum/strict_bank_128/videos/A/A_129_aligned.mp4,0.11413693191528372,50000129,A_129,red,circle,data/pendulum/strict_bank_128/videos/A/A_129_conflict.mp4,0,A,73000129,6.14353775850582,4.444427260337302,129,A_129,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,0.05885833426609504,frequency_color_circle__train_e273989068c3
39,blue,circle,data/pendulum/strict_bank_128/videos/A/A_130_aligned.mp4,0.14042088703255232,50000130,A_130,red,circle,data/pendulum/strict_bank_128/videos/A/A_130_conflict.mp4,0,A,73000130,6.089384332994541,0.6556694862156404,130,A_130,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,0.03862427549920492,frequency_color_circle__train_e273989068c3
40,blue,circle,data/pendulum/strict_bank_128/videos/A/A_135_aligned.mp4,0.1647117479556907,50000135,A_135,red,circle,data/pendulum/strict_bank_128/videos/A/A_135_conflict.mp4,0,A,73000135,5.6866721052969895,1.728102795059768,135,A_135,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,0.0782286130377932,frequency_color_circle__train_e273989068c3
41,blue,circle,data/pendulum/strict_bank_128/videos/A/A_140_aligned.mp4,0.11197773646249742,50000140,A_140,red,circle,data/pendulum/strict_bank_128/videos/A/A_140_conflict.mp4,0,A,73000140,6.053334802415051,3.3271186333839418,140,A_140,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.08516431212500529,frequency_color_circle__train_e273989068c3
42,blue,circle,data/pendulum/strict_bank_128/videos/A/A_141_aligned.mp4,0.15763707926985013,50000141,A_141,red,circle,data/pendulum/strict_bank_128/videos/A/A_141_conflict.mp4,0,A,73000141,6.101122596394413,3.9225153315803563,141,A_141,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.01821943819681846,frequency_color_circle__train_e273989068c3
43,blue,circle,data/pendulum/strict_bank_128/videos/A/A_142_aligned.mp4,0.13118098765573866,50000142,A_142,red,circle,data/pendulum/strict_bank_128/videos/A/A_142_conflict.mp4,0,A,73000142,6.1159539117823165,5.5514004072517995,142,A_142,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,0.13117404501605148,frequency_color_circle__train_e273989068c3
44,blue,circle,data/pendulum/strict_bank_128/videos/A/A_144_aligned.mp4,0.1607971450979378,50000144,A_144,red,circle,data/pendulum/strict_bank_128/videos/A/A_144_conflict.mp4,0,A,73000144,5.611377880037573,6.134984036508412,144,A_144,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,0.08121177153212547,frequency_color_circle__train_e273989068c3
45,blue,circle,data/pendulum/strict_bank_128/videos/A/A_145_aligned.mp4,0.1639527564961315,50000145,A_145,red,circle,data/pendulum/strict_bank_128/videos/A/A_145_conflict.mp4,0,A,73000145,5.575587632808819,4.894864002440131,145,A_145,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.1204534343024123,frequency_color_circle__train_e273989068c3
46,blue,circle,data/pendulum/strict_bank_128/videos/A/A_147_aligned.mp4,0.161420304398412,50000147,A_147,red,circle,data/pendulum/strict_bank_128/videos/A/A_147_conflict.mp4,0,A,73000147,6.018933691262555,4.908982934159969,147,A_147,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,0.09215806007093023,frequency_color_circle__train_e273989068c3
47,blue,circle,data/pendulum/strict_bank_128/videos/A/A_148_aligned.mp4,0.139729569606734,50000148,A_148,red,circle,data/pendulum/strict_bank_128/videos/A/A_148_conflict.mp4,0,A,73000148,6.125132469991941,5.845034254180495,148,A_148,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,0.13295285779466826,frequency_color_circle__train_e273989068c3
48,blue,circle,data/pendulum/strict_bank_128/videos/A/A_151_aligned.mp4,0.11142737230441095,50000151,A_151,red,circle,data/pendulum/strict_bank_128/videos/A/A_151_conflict.mp4,0,A,73000151,6.050721150650307,3.4533952932438625,151,A_151,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.07564628390826893,frequency_color_circle__train_e273989068c3
49,blue,circle,data/pendulum/strict_bank_128/videos/A/A_153_aligned.mp4,0.10028341277525282,50000153,A_153,red,circle,data/pendulum/strict_bank_128/videos/A/A_153_conflict.mp4,0,A,73000153,5.630600330389142,4.03111298525244,153,A_153,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.10011544849722605,frequency_color_circle__train_e273989068c3
50,blue,circle,data/pendulum/strict_bank_128/videos/A/A_156_aligned.mp4,0.1379572403991758,50000156,A_156,red,circle,data/pendulum/strict_bank_128/videos/A/A_156_conflict.mp4,0,A,73000156,5.8679766110737654,5.571254609696329,156,A_156,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,0.0976905502597867,frequency_color_circle__train_e273989068c3
51,blue,circle,data/pendulum/strict_bank_128/videos/A/A_157_aligned.mp4,0.15643746915579274,50000157,A_157,red,circle,data/pendulum/strict_bank_128/videos/A/A_157_conflict.mp4,0,A,73000157,6.055345579781005,1.73622617370994,157,A_157,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.09993733902299212,frequency_color_circle__train_e273989068c3
52,blue,circle,data/pendulum/strict_bank_128/videos/A/A_158_aligned.mp4,0.13920652536382194,50000158,A_158,red,circle,data/pendulum/strict_bank_128/videos/A/A_158_conflict.mp4,0,A,73000158,5.895924767757135,2.862887038527816,158,A_158,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.1344810718761287,frequency_color_circle__train_e273989068c3
53,blue,circle,data/pendulum/strict_bank_128/videos/A/A_161_aligned.mp4,0.10494270594639435,50000161,A_161,red,circle,data/pendulum/strict_bank_128/videos/A/A_161_conflict.mp4,0,A,73000161,5.883014859257062,5.90816356736372,161,A_161,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,0.09670230043482157,frequency_color_circle__train_e273989068c3
54,blue,circle,data/pendulum/strict_bank_128/videos/A/A_169_aligned.mp4,0.1546519041878963,50000169,A_169,red,circle,data/pendulum/strict_bank_128/videos/A/A_169_conflict.mp4,0,A,73000169,6.019717268106065,2.232648468459564,169,A_169,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.13605908342059722,frequency_color_circle__train_e273989068c3
55,blue,circle,data/pendulum/strict_bank_128/videos/A/A_172_aligned.mp4,0.15785869455654544,50000172,A_172,red,circle,data/pendulum/strict_bank_128/videos/A/A_172_conflict.mp4,0,A,73000172,6.149452083529531,3.7716674005192754,172,A_172,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.017648070544095236,frequency_color_circle__train_e273989068c3
56,blue,circle,data/pendulum/strict_bank_128/videos/A/A_173_aligned.mp4,0.12199279676606434,50000173,A_173,red,circle,data/pendulum/strict_bank_128/videos/A/A_173_conflict.mp4,0,A,73000173,5.811042041689759,1.1499647788605318,173,A_173,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,0.07623801291637816,frequency_color_circle__train_e273989068c3
57,blue,circle,data/pendulum/strict_bank_128/videos/A/A_174_aligned.mp4,0.131161426914162,50000174,A_174,red,circle,data/pendulum/strict_bank_128/videos/A/A_174_conflict.mp4,0,A,73000174,6.355752989318333,0.5253697349060726,174,A_174,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.05627318238443885,frequency_color_circle__train_e273989068c3
58,blue,circle,data/pendulum/strict_bank_128/videos/A/A_175_aligned.mp4,0.1470608632064077,50000175,A_175,red,circle,data/pendulum/strict_bank_128/videos/A/A_175_conflict.mp4,0,A,73000175,6.203895710891384,0.4213023728563421,175,A_175,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,0.02147959645013411,frequency_color_circle__train_e273989068c3
59,blue,circle,data/pendulum/strict_bank_128/videos/A/A_176_aligned.mp4,0.1091969454059179,50000176,A_176,red,circle,data/pendulum/strict_bank_128/videos/A/A_176_conflict.mp4,0,A,73000176,6.343715281683147,2.4253878375478046,176,A_176,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.08106946262285718,frequency_color_circle__train_e273989068c3
60,blue,circle,data/pendulum/strict_bank_128/videos/A/A_177_aligned.mp4,0.12012309499447368,50000177,A_177,red,circle,data/pendulum/strict_bank_128/videos/A/A_177_conflict.mp4,0,A,73000177,5.903959306301818,0.10059843458911644,177,A_177,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,0.1188847639436649,frequency_color_circle__train_e273989068c3
61,blue,circle,data/pendulum/strict_bank_128/videos/A/A_185_aligned.mp4,0.14604208988708184,50000185,A_185,red,circle,data/pendulum/strict_bank_128/videos/A/A_185_conflict.mp4,0,A,73000185,5.958418702996302,2.855335722310562,185,A_185,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.14569585214578493,frequency_color_circle__train_e273989068c3
62,blue,circle,data/pendulum/strict_bank_128/videos/A/A_188_aligned.mp4,0.14726997267559522,50000188,A_188,red,circle,data/pendulum/strict_bank_128/videos/A/A_188_conflict.mp4,0,A,73000188,5.254079658720078,4.9847634495340545,188,A_188,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.14452631094504623,frequency_color_circle__train_e273989068c3
63,blue,circle,data/pendulum/strict_bank_128/videos/A/A_196_aligned.mp4,0.14176425483379276,50000196,A_196,red,circle,data/pendulum/strict_bank_128/videos/A/A_196_conflict.mp4,0,A,73000196,6.193823169716637,1.0996594974467402,196,A_196,heldout,frequency,high,frequency_color_circle__strict_bank_128_v1,-0.06790834176194542,frequency_color_circle__train_e273989068c3
0,red,circle,data/pendulum/strict_bank_128/videos/B/B_002_aligned.mp4,0.12103521824750663,60000002,B_002,blue,circle,data/pendulum/strict_bank_128/videos/B/B_002_conflict.mp4,0,B,83000002,2.3281417495092174,4.041166893788523,2,B_002,fit,frequency,low,frequency_color_circle__strict_bank_128_v1,0.057564373028181084,frequency_color_circle__train_e273989068c3
1,red,circle,data/pendulum/strict_bank_128/videos/B/B_003_aligned.mp4,0.11407713564918015,60000003,B_003,blue,circle,data/pendulum/strict_bank_128/videos/B/B_003_conflict.mp4,0,B,83000003,2.4739467604667036,1.2119022639896098,3,B_003,fit,frequency,low,frequency_color_circle__strict_bank_128_v1,-0.10910783515952537,frequency_color_circle__train_e273989068c3
2,red,circle,data/pendulum/strict_bank_128/videos/B/B_004_aligned.mp4,0.1228745214973262,60000004,B_004,blue,circle,data/pendulum/strict_bank_128/videos/B/B_004_conflict.mp4,0,B,83000004,2.228327834330999,3.2668171904958276,4,B_004,fit,frequency,low,frequency_color_circle__strict_bank_128_v1,-0.06918817957018022,frequency_color_circle__train_e273989068c3
3,red,circle,data/pendulum/strict_bank_128/videos/B/B_007_aligned.mp4,0.11306086130783063,60000007,B_007,blue,circle,data/pendulum/strict_bank_128/videos/B/B_007_conflict.mp4,0,B,83000007,2.3987842549268747,0.2849167769167278,7,B_007,fit,frequency,low,frequency_color_circle__strict_bank_128_v1,-0.012079472806402954,frequency_color_circle__train_e273989068c3
4,red,circle,data/pendulum/strict_bank_128/videos/B/B_008_aligned.mp4,0.12320523389632441,60000008,B_008,blue,circle,data/pendulum/strict_bank_128/videos/B/B_008_conflict.mp4,0,B,83000008,2.3388115779991496,5.463635882513356,8,B_008,fit,frequency,low,frequency_color_circle__strict_bank_128_v1,0.11434939436808733,frequency_color_circle__train_e273989068c3
5,red,circle,data/pendulum/strict_bank_128/videos/B/B_010_aligned.mp4,0.16991852621092632,60000010,B_010,blue,circle,data/pendulum/strict_bank_128/videos/B/B_010_conflict.mp4,0,B,83000010,2.4918715816500145,3.405135404484887,10,B_010,fit,frequency,low,frequency_color_circle__strict_bank_128_v1,0.06358606977133067,frequency_color_circle__train_e273989068c3
6,red,circle,data/pendulum/strict_bank_128/videos/B/B_017_aligned.mp4,0.1641196111570561,60000017,B_017,blue,circle,data/pendulum/strict_bank_128/videos/B/B_017_conflict.mp4,0,B,83000017,2.7921232531110856,3.040530488952959,17,B_017,fit,frequency,low,frequency_color_circle__strict_bank_128_v1,0.1362781025808518,frequency_color_circle__train_e273989068c3
7,red,circle,data/pendulum/strict_bank_128/videos/B/B_019_aligned.mp4,0.1203167406720841,60000019,B_019,blue,circle,data/pendulum/strict_bank_128/videos/B/B_019_conflict.mp4,0,B,83000019,2.5132007240978456,6.259886276411178,19,B_019,fit,frequency,low,frequency_color_circle__strict_bank_128_v1,-0.019757753900040993,frequency_color_circle__train_e273989068c3
8,red,circle,data/pendulum/strict_bank_128/videos/B/B_022_aligned.mp4,0.14873397393979526,60000022,B_022,blue,circle,data/pendulum/strict_bank_128/videos/B/B_022_conflict.mp4,0,B,83000022,2.80584706871452,3.777186144500295,22,B_022,fit,frequency,low,frequency_color_circle__strict_bank_128_v1,0.14607068623645633,frequency_color_circle__train_e273989068c3
9,red,circle,data/pendulum/strict_bank_128/videos/B/B_023_aligned.mp4,0.16060679161214295,60000023,B_023,blue,circle,data/pendulum/strict_bank_128/videos/B/B_023_conflict.mp4,0,B,83000023,2.5169938540020986,0.04570739480571176,23,B_023,fit,frequency,low,frequency_color_circle__strict_bank_128_v1,-0.03912851040519596,frequency_color_circle__train_e273989068c3
10,red,circle,data/pendulum/strict_bank_128/videos/B/B_024_aligned.mp4,0.11774346126358788,60000024,B_024,blue,circle,data/pendulum/strict_bank_128/videos/B/B_024_conflict.mp4,0,B,83000024,2.244685101787572,0.317812156067527,24,B_024,fit,frequency,low,frequency_color_circle__strict_bank_128_v1,0.04072517924558407,frequency_color_circle__train_e273989068c3
